,Mkt_minus_RF,SMB,HML,RMW,CMA,MOM,RF
2002-12-31,-5.76,0.62,2.14,6.29,-1.68,9.64,0.11
2003-01-31,-2.57,0.72,-0.81,-1.0,0.71,1.55,0.1
2003-02-28,-1.88,-0.93,-1.38,0.83,-0.61,1.17,0.09
2003-03-31,1.09,0.67,-1.91,1.85,-0.75,1.48,0.1
2003-04-30,8.22,1.04,1.17,-4.7,1.09,-9.33,0.1
2003-05-31,6.05,4.87,0.5,-7.06,2.99,-10.7,0.09
2003-06-30,1.42,1.68,0.15,0.48,-0.35,-1.0,0.1
2003-07-31,2.35,4.54,-1.24,-4.15,1.77,-0.24,0.07
2003-08-31,2.34,2.48,1.54,-2.24,2.13,-0.62,0.07
2003-09-30,-1.24,0.55,0.15,1.0,0.35,-0.19,0.08
2003-10-31,6.08,2.71,1.97,-1.35,1.54,3.99,0.07
2003-11-30,1.35,2.33,1.78,0.19,1.8,1.46,0.07
2003-12-31,4.29,-2.49,1.61,0.57,0.94,-5.57,0.08
2004-01-31,2.15,2.45,2.48,-3.67,3.38,2.58,0.07
2004-02-29,1.4,-0.93,0.91,2.18,-1.21,-1.14,0.06
2004-03-31,-1.32,2.1,0.28,1.56,-0.98,0.17,0.09
2004-04-30,-1.83,-2.01,-3.09,3.46,-2.84,-5.38,0.08
2004-05-31,1.17,-0.38,-0.24,-1.18,0.02,1.5,0.06
2004-06-30,1.86,2.56,1.19,1.2,-0.39,2.05,0.08
2004-07-31,-4.06,-2.95,3.23,5.33,-1.66,-2.29,0.1
2004-08-31,0.08,-1.16,1.0,1.18,-1.44,-1.59,0.11
2004-09-30,1.6,3.27,-0.01,-1.48,-1.89,5.49,0.11
2004-10-31,1.43,0.19,-0.22,-0.52,0.49,-1.38,0.11
2004-11-30,4.54,4.11,1.42,-0.59,-0.21,3.16,0.15
2004-12-31,3.43,-0.05,-0.22,-1.16,0.46,-2.87,0.16
2005-01-31,-2.76,-1.18,2.06,2.73,-1.46,3.05,0.16
2005-02-28,1.89,-0.3,1.53,1.45,-0.05,3.37,0.16
2005-03-31,-1.97,-1.42,2.04,0.47,1.29,0.41,0.21
2005-04-30,-2.61,-3.98,0.06,0.97,-0.94,-0.69,0.21
2005-05-31,3.65,2.79,-0.64,-1.0,0.3,0.45,0.24
2005-06-30,0.57,3.28,2.82,0.97,-0.51,2.05,0.23
2005-07-31,3.92,2.8,-0.78,-1.22,-0.81,0.06,0.24
2005-08-31,-1.22,-0.89,1.32,-2.05,0.36,2.08,0.3
2005-09-30,0.49,-0.35,0.72,0.27,-0.6,3.43,0.29
2005-10-31,-2.02,-1.45,0.43,-0.94,-1.3,-1.39,0.27
2005-11-30,3.61,0.85,-1.18,-0.74,-1.14,0.35,0.31
2005-12-31,-0.25,-0.21,0.2,0.21,0.23,0.77,0.32
2006-01-31,3.04,5.75,1.08,-0.64,-0.46,2.53,0.35
2006-02-28,-0.3,-0.42,-0.35,-0.51,1.91,-1.84,0.34
2006-03-31,1.46,3.4,0.59,0.09,-0.41,1.26,0.37
2006-04-30,0.73,-0.84,2.34,1.8,0.01,0.64,0.36
2006-05-31,-3.57,-2.85,2.42,1.15,1.46,-3.7,0.43
2006-06-30,-0.35,-0.24,0.85,1.33,-0.07,1.54,0.4
2006-07-31,-0.78,-3.64,2.62,1.63,0.9,-2.12,0.4
2006-08-31,2.03,0.44,-2.06,-1.86,2.09,-3.38,0.42
2006-09-30,1.84,-1.46,0.08,0.82,0.6,-0.96,0.41
2006-10-31,3.23,1.98,-0.3,-0.12,0.28,-0.2,0.41
2006-11-30,1.71,0.71,0.14,0.15,-0.81,-1.03,0.42
2006-12-31,0.87,-0.82,2.73,-0.72,2.06,0.79,0.4
2007-01-31,1.4,0.08,-0.69,0.25,0.38,0.24,0.44
2007-02-28,-1.96,1.28,-0.13,-0.51,-0.71,-1.35,0.38
2007-03-31,0.68,0.19,-0.96,0.64,-0.65,2.56,0.43
2007-04-30,3.49,-2.03,-1.46,1.15,1.04,-0.24,0.44
2007-05-31,3.24,0.4,-0.65,1.58,-1.36,-0.34,0.41
2007-06-30,-1.96,0.75,-1.07,0.53,0.08,0.51,0.4
2007-07-31,-3.73,-2.98,-3.72,0.2,-1.13,2.94,0.4
2007-08-31,0.92,-0.37,-1.86,-1.21,-0.53,0.1,0.42
2007-09-30,3.22,-2.43,-2.23,-0.52,-3.02,4.63,0.32
2007-10-31,1.8,-0.03,-3.05,-0.3,-0.09,5.02,0.32
2007-11-30,-4.83,-3.01,-0.95,1.89,-0.29,0.99,0.34
2007-12-31,-0.87,0.15,-0.54,0.87,-1.04,6.63,0.27
2008-01-31,-6.36,-0.66,3.98,2.14,2.14,-7.75,0.21
2008-02-29,-3.09,-0.66,-0.84,0.88,-0.93,6.1,0.13
2008-03-31,-0.93,0.56,0.3,0.79,0.5,4.27,0.17
2008-04-30,4.6,-1.14,-1.04,1.63,-2.47,-0.31,0.18
2008-05-31,1.86,3.06,-1.49,0.93,-0.06,3.31,0.18
2008-06-30,-8.44,1.15,-2.67,4.96,-0.55,12.75,0.17
2008-07-31,-0.77,3.72,5.42,-1.37,1.08,-5.13,0.15
2008-08-31,1.53,3.46,1.59,1.86,0.84,-4.02,0.13
2008-09-30,-9.24,0.25,5.92,2.41,1.78,0.28,0.15
2008-10-31,-17.23,-3.34,-2.3,3.04,2.05,7.85,0.08
2008-11-30,-7.86,-3.89,-6.31,4.53,2.74,7.17,0.03
2008-12-31,1.74,3.29,0.15,0.06,-1.49,-5.09,0.0
2009-01-31,-8.12,-2.13,-11.29,0.18,-1.16,-2.18,0.0
2009-02-28,-10.1,-1.33,-6.95,1.19,-1.02,4.41,0.01
2009-03-31,8.95,0.68,3.48,-2.52,-2.24,-11.87,0.02
2009-04-30,10.18,7.13,5.36,1.31,0.13,-34.3,0.01
2009-05-31,5.21,-2.32,0.27,-0.78,-2.16,-12.49,0.0
